,data,label
0,"[ 3.6655838e-05 -3.7366447e-06  3.4776433e-05 ...  1.7979908e-04
  1.5948735e-04  2.7637873e-04]",5
1,[0.00011985 0.00016175 0.00017247 ... 0.00019442 0.00018132 0.        ],9
2,"[-0.00043892 -0.00073744 -0.00061329 ... -0.00074444 -0.00066346
 -0.00077261]",8
3,"[-4.2890151e-05  9.8912991e-05  2.6636611e-05 ...  1.5603018e-04
  1.6450470e-04  0.0000000e+00]",4
4,"[ 1.26534533e-05  2.38922621e-05 -7.51331982e-06 ...  1.06650514e-04
  1.36820716e-04  0.00000000e+00]",0
5,"[-1.0774565e-04 -1.2805950e-04 -1.3393736e-04 ... -1.5094133e-04
 -7.2799667e-05  0.0000000e+00]",0
6,"[9.2610695e-05 1.8442213e-04 2.1447388e-04 ... 2.8832140e-04 3.0010103e-04
 0.0000000e+00]",7
7,[0.00019866 0.00032259 0.00028757 ... 0.00055774 0.00054479 0.00059554],2
8,[0.00027186 0.00052219 0.00040256 ... 0.00032481 0.00031971 0.        ],1
9,"[-1.0586961e-04 -2.0532755e-04 -2.1400455e-04 ...  5.9976423e-06
 -3.6068202e-05  2.1866206e-05]",7
10,"[4.1106588e-04 6.5146736e-04 5.4718129e-04 ... 8.6492269e-05 9.5051335e-05
 0.0000000e+00]",7
11,"[ 2.9494626e-05  1.2745382e-04  6.9168178e-05 ... -3.4606774e-04
 -3.2283855e-04 -3.9957967e-04]",5
12,[0.00057975 0.00102588 0.0008699  ... 0.00014505 0.00020524 0.        ],4
13,"[-9.2237206e-05 -1.1296836e-04 -1.4122046e-04 ...  1.4867302e-04
  8.0874988e-06  8.6863300e-05]",5
14,"[-4.7012527e-05 -4.3866363e-05 -8.2010025e-05 ...  4.3604261e-04
  3.7255275e-04  3.4433039e-04]",1
15,"[-6.1229563e-05 -1.2801262e-04 -8.7929446e-05 ... -5.0583243e-04
 -4.1997680e-04 -6.1522814e-04]",7
16,[0.00045955 0.00073034 0.00064367 ... 0.00128555 0.0014851  0.        ],7
17,"[-0.00021484 -0.00035942 -0.00028117 ... -0.00030912 -0.00026508
 -0.00027899]",1
18,"[-0.00011997 -0.00020741 -0.0002012  ... -0.00014615 -0.00017389
 -0.00021151]",7
19,"[-0.00017639 -0.00026708 -0.0002467  ... -0.000171   -0.00017326
 -0.00016133]",8
20,"[-1.7762668e-05 -5.3217824e-05 -1.9776460e-05 ...  2.9384458e-04
  3.8320498e-04  0.0000000e+00]",4
21,"[ 2.8974348e-05 -2.6386060e-05 -5.2035775e-05 ...  4.0174628e-04
  3.9734106e-04  0.0000000e+00]",0
22,"[ 7.0666094e-05  2.4423733e-05 -5.1566050e-05 ... -1.9287319e-04
 -2.1479475e-04 -1.9837733e-04]",0
23,"[1.86739970e-04 3.41599633e-04 3.10945703e-04 ... 7.78396934e-05
 8.96245838e-05 1.00803576e-04]",4
24,"[ 4.0511906e-05 -4.6459948e-07  2.1011465e-05 ...  6.0206308e-05
  7.1608076e-05  1.1454108e-04]",3
25,"[-0.0004241  -0.00075395 -0.00068116 ... -0.00179179 -0.00168123
 -0.00180765]",7
26,[0.00017794 0.00029682 0.00021808 ... 0.00046205 0.0005125  0.        ],4
27,"[-1.3053288e-04 -1.5858197e-04 -2.1676619e-04 ...  8.8675341e-05
  5.6221375e-05  0.0000000e+00]",8
28,[0.00026575 0.00040621 0.00028819 ... 0.00027723 0.00037137 0.        ],6
29,"[-2.3562220e-04 -2.9945854e-04 -2.4327806e-04 ... -1.1751523e-04
 -6.2782172e-05  0.0000000e+00]",9
30,"[-0.00028013 -0.00045073 -0.00024961 ...  0.00027744  0.00025683
  0.00029018]",0
31,"[ 7.6119926e-05  1.8449899e-04  8.2559309e-05 ... -7.1906525e-04
 -8.3045539e-04  0.0000000e+00]",4
32,"[-1.20751087e-04 -2.22926596e-04 -1.73507273e-04 ...  1.03816696e-04
  3.68475085e-05  0.00000000e+00]",0
33,"[ 1.5328595e-04 -9.8070632e-05  6.0725204e-05 ...  4.6455977e-04
  7.6441007e-04  8.8814570e-04]",5
34,"[-0.00039933 -0.00060544 -0.00056328 ... -0.0007943  -0.00080525
 -0.00092082]",5
35,"[-0.00036659 -0.00061556 -0.00058981 ... -0.00050871 -0.00060731
  0.        ]",6
36,"[-0.00020374 -0.00034163 -0.00030298 ... -0.0001066  -0.0001128
  0.        ]",9
37,"[-0.00010431 -0.00046916 -0.00046129 ... -0.00016795 -0.00013623
  0.        ]",4
38,"[-6.5517756e-06 -7.9860683e-06  2.5307359e-05 ...  7.1487925e-04
  8.4745151e-04  7.7953067e-04]",8
39,"[-0.00016713 -0.00028099 -0.00017549 ...  0.00015063  0.00013496
  0.00020522]",4
40,"[ 0.00010445  0.00010759  0.00015516 ... -0.00013395 -0.0001161
  0.        ]",6
41,"[-0.00145155 -0.00236347 -0.0020547  ... -0.00067181 -0.00064107
 -0.00071333]",7
42,"[-7.2960298e-05 -1.6738632e-04 -1.5753903e-04 ...  4.6110433e-04
  5.1997800e-04  0.0000000e+00]",1
